trade_date,market,industry,moneydj_sector_id,moneydj_market_index,moneydj_sector_index,moneydj_flow_rate_pct,source,source_url
2026-03-13,TWSE,水泥,EB011000,33400.32,123.97,0.12,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-16,TWSE,水泥,EB011000,33342.51,123.77,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-17,TWSE,水泥,EB011000,33836.57,123.18,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-18,TWSE,水泥,EB011000,34348.58,123.33,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-19,TWSE,水泥,EB011000,33689.68,121.04,0.14,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-20,TWSE,水泥,EB011000,33543.88,120.91,0.17,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-23,TWSE,水泥,EB011000,32722.5,118.12,0.16,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-24,TWSE,水泥,EB011000,32612.24,118.22,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-25,TWSE,水泥,EB011000,33439.11,119.26,0.15,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-26,TWSE,水泥,EB011000,33337.62,118.87,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-27,TWSE,水泥,EB011000,33112.59,118.84,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-30,TWSE,水泥,EB011000,32518.16,118.9,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-31,TWSE,水泥,EB011000,31722.99,119.36,0.18,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-01,TWSE,水泥,EB011000,33174.82,122.01,0.17,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-02,TWSE,水泥,EB011000,32572.43,121.74,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-07,TWSE,水泥,EB011000,33229.82,122.85,0.18,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-08,TWSE,水泥,EB011000,34761.38,126.75,0.22,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-09,TWSE,水泥,EB011000,34861.16,126.34,0.18,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-10,TWSE,水泥,EB011000,35417.83,126.89,0.2,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-13,TWSE,水泥,EB011000,35457.29,126.31,0.12,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-14,TWSE,水泥,EB011000,36296.12,126.48,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-15,TWSE,水泥,EB011000,36722.14,124.51,0.12,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-16,TWSE,水泥,EB011000,37132.02,125.8,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-17,TWSE,水泥,EB011000,36804.34,126.32,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-20,TWSE,水泥,EB011000,36958.8,124.45,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-21,TWSE,水泥,EB011000,37605.11,124.78,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-22,TWSE,水泥,EB011000,37878.47,124.4,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-23,TWSE,水泥,EB011000,37714.15,124.81,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-24,TWSE,水泥,EB011000,38932.4,124.35,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-27,TWSE,水泥,EB011000,39616.63,123.18,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-28,TWSE,水泥,EB011000,39521.73,123.49,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-29,TWSE,水泥,EB011000,39303.5,124.0,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-04-30,TWSE,水泥,EB011000,38926.63,123.45,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-04,TWSE,水泥,EB011000,40705.14,122.99,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-05,TWSE,水泥,EB011000,40769.29,122.16,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-06,TWSE,水泥,EB011000,41138.85,124.98,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-07,TWSE,水泥,EB011000,41933.78,125.84,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-08,TWSE,水泥,EB011000,41603.94,124.51,0.07,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-11,TWSE,水泥,EB011000,41790.06,125.28,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-12,TWSE,水泥,EB011000,41898.32,123.84,0.07,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-13,TWSE,水泥,EB011000,41374.5,123.87,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-14,TWSE,水泥,EB011000,41751.75,123.24,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-15,TWSE,水泥,EB011000,41172.36,120.78,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-18,TWSE,水泥,EB011000,40891.82,120.59,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-19,TWSE,水泥,EB011000,40175.56,121.6,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-20,TWSE,水泥,EB011000,40020.82,121.02,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-21,TWSE,水泥,EB011000,41368.21,121.8,0.07,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-22,TWSE,水泥,EB011000,42267.97,120.85,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-25,TWSE,水泥,EB011000,43644.4,120.36,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-26,TWSE,水泥,EB011000,43525.37,119.0,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-27,TWSE,水泥,EB011000,44256.8,118.4,0.08,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-28,TWSE,水泥,EB011000,43636.44,117.14,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-05-29,TWSE,水泥,EB011000,44732.94,121.32,0.43,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-01,TWSE,水泥,EB011000,45337.91,121.55,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-02,TWSE,水泥,EB011000,45557.31,121.94,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-03,TWSE,水泥,EB011000,46459.16,123.39,0.12,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-04,TWSE,水泥,EB011000,45677.46,122.72,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-05,TWSE,水泥,EB011000,45070.94,122.63,0.1,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-08,TWSE,水泥,EB011000,43502.78,120.01,0.16,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-06-09,TWSE,水泥,EB011000,44704.44,120.57,0.09,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB011000
2026-03-13,TWSE,食品,EB012000,33400.32,1906.83,0.2,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-16,TWSE,食品,EB012000,33342.51,1919.22,0.19,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-17,TWSE,食品,EB012000,33836.57,1928.34,0.19,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-18,TWSE,食品,EB012000,34348.58,1939.93,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-19,TWSE,食品,EB012000,33689.68,1916.51,0.15,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-20,TWSE,食品,EB012000,33543.88,1913.42,0.17,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-23,TWSE,食品,EB012000,32722.5,1894.42,0.21,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-24,TWSE,食品,EB012000,32612.24,1902.78,0.16,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-25,TWSE,食品,EB012000,33439.11,1917.5,0.2,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-26,TWSE,食品,EB012000,33337.62,1932.32,0.12,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-27,TWSE,食品,EB012000,33112.59,1942.92,0.2,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-30,TWSE,食品,EB012000,32518.16,1937.27,0.27,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-03-31,TWSE,食品,EB012000,31722.99,1919.73,0.21,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-01,TWSE,食品,EB012000,33174.82,1939.09,0.19,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-02,TWSE,食品,EB012000,32572.43,1947.9,0.18,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-07,TWSE,食品,EB012000,33229.82,1949.94,0.24,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-08,TWSE,食品,EB012000,34761.38,1953.43,0.15,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-09,TWSE,食品,EB012000,34861.16,1941.42,0.11,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-10,TWSE,食品,EB012000,35417.83,1940.96,0.17,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-13,TWSE,食品,EB012000,35457.29,1946.06,0.18,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-14,TWSE,食品,EB012000,36296.12,1943.35,0.13,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-15,TWSE,食品,EB012000,36722.14,1948.87,0.15,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-16,TWSE,食品,EB012000,37132.02,1961.74,0.12,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-17,TWSE,食品,EB012000,36804.34,1968.15,0.14,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
2026-04-20,TWSE,食品,EB012000,36958.8,1951.77,0.19,moneydj,https://www.moneydj.com/Z/ZB/ZBA/CZBA1.DJBCD?a=EB012000
