Date,SecuritiesCompanyCode,CompanyName,Close,Change,Open,High,Low,Average,TradingShares,TransactionAmount,TransactionNumber,LatestBidPrice,LatesAskPrice,Capitals,NextReferencePrice,NextLimitUp,NextLimitDown
1150605,006201,元大富櫃50,48.12,-1.72 ,49.84,49.84,46.50,47.99,340694,16348397,493,48.11,48.50,19446000,48.12,52.90,43.31
1150605,00679B,元大美債20年,26.55,+0.06,26.55,26.61,26.51,26.56,30321375,805313366,4773,26.55,26.56,7068192000,26.55,9999.95,0.01
1150605,00687B,國泰20年美債,27.87,+0.05,27.90,27.94,27.84,27.89,21160101,590183424,3079,27.87,27.88,5406634927,27.87,9999.95,0.01
1150605,00687C,國泰20年美債+櫃U,9.36,+0.01,9.36,9.36,9.36,9.36,25000,234000,2,9.34,9.37,2012268,9.36,9999.95,0.01
1150605,00694B,富邦美債1-3,41.54,+0.09,41.46,41.56,41.46,41.53,136646,5675002,40,41.53,41.54,41576000,41.54,9999.95,0.01
1150605,00695B,富邦美債7-10,34.99,+0.07,34.98,35.02,34.95,34.99,162155,5673959,41,34.99,35.00,38686000,34.99,9999.95,0.01
1150605,00696B,富邦美債20年,28.95,+0.08,28.98,29.00,28.91,28.96,2195158,63574459,202,28.94,28.95,673181000,28.95,9999.95,0.01
1150605,00697B,元大美債7-10,35.53,+0.10,35.73,35.73,35.44,35.52,343913,12214741,174,35.53,35.54,66712000,35.53,9999.95,0.01
1150605,00719B,元大美債1-3,30.88,+0.05,30.83,30.88,30.83,30.86,2614262,80688499,587,30.87,30.88,546514000,30.88,9999.95,0.01
1150605,00720B,元大投資級公司債,33.18,+0.09,33.14,33.24,33.13,33.17,6192858,205437417,1637,33.17,33.18,4123109000,33.18,9999.95,0.01
1150605,00722B,群益投資級電信債,36.16,+0.09,36.07,36.20,36.07,36.18,3937833,142460620,310,36.15,36.16,1468739000,36.16,9999.95,0.01
1150605,00723B,群益投資級科技債,31.02,+0.10,31.07,31.07,30.99,31.01,245000,7597930,9,31.01,31.02,1521083000,31.02,9999.95,0.01
1150605,00724B,群益投資級金融債,33.78,+0.11,33.68,33.81,33.68,33.79,4020415,135840462,230,33.77,33.78,3091775000,33.78,9999.95,0.01
1150605,00725B,國泰投資級公司債,35.28,+0.10,35.22,35.31,35.22,35.27,4990588,176022003,909,35.28,35.29,3750706000,35.28,9999.95,0.01
1150605,00726B,國泰新興投等債,32.84,+0.11,32.72,32.84,32.72,32.82,154959,5085423,33,32.82,32.84,1195489000,32.84,9999.95,0.01
1150605,00727B,國泰優選非投等債,39.39,+0.11,39.33,39.39,39.31,39.38,125782,4953677,12,39.38,39.40,56689000,39.39,9999.95,0.01
1150605,00734B,台新JPM新興債,15.77,+0.02,15.66,15.77,15.66,15.74,16000,251830,8,15.77,15.78,26979000,15.77,9999.95,0.01
1150605,00740B,富邦全球投等債,38.80,+0.14,38.69,38.83,38.69,38.80,2048947,79489314,245,38.79,38.80,2166971000,38.80,9999.95,0.01
1150605,00741B,富邦全球非投等債,37.13,+0.10,37.13,37.14,37.08,37.11,188138,6982141,22,37.12,37.14,14628000,37.13,9999.95,0.01
1150605,00746B,富邦A級公司債,35.56,+0.10,35.58,35.58,35.52,35.56,628759,22357247,25,35.54,35.56,2506964000,35.56,9999.95,0.01
1150605,00749B,凱基新興債10+,31.79,+0.13,31.76,31.79,31.76,31.79,101000,3210760,3,31.75,31.78,1106000000,31.79,9999.95,0.01
1150605,00750B,凱基科技債10+,33.29,+0.06,33.29,33.29,33.29,33.29,100029,3330023,3,33.23,33.25,148000000,33.29,9999.95,0.01
1150605,00751B,元大AAA至A公司債,31.89,+0.07,31.86,31.95,31.85,31.90,6357673,202811762,1264,31.89,31.90,5225103000,31.89,9999.95,0.01
1150605,00754B,群益AAA-AA公司債,33.54,+0.10,33.56,33.56,33.51,33.56,114000,3825540,10,33.52,33.54,1406900000,33.54,9999.95,0.01
1150605,00755B,群益投資級公用債,32.75,+0.11,32.65,32.76,32.65,32.73,110031,3601559,92,32.70,32.71,282230000,32.75,9999.95,0.01
1150605,00756B,群益投等新興公債,31.48,+0.14,31.30,31.51,31.30,31.48,175953,5538810,88,31.47,31.50,1506800000,31.48,9999.95,0.01
1150605,00758B,復華能源債,51.55,0.00 ,51.55,51.55,51.55,51.55,100019,5155983,4,51.45,51.80,5525000,51.55,9999.95,0.01
1150605,00759B,復華製藥債,54.55,+0.10,54.55,54.55,54.55,54.55,101024,5510909,6,54.45,54.55,47525000,54.55,9999.95,0.01
1150605,00760B,復華新興企業債,53.60,+0.15,53.65,53.75,53.60,53.65,107803,5783849,16,53.60,53.65,435520000,53.60,9999.95,0.01
1150605,00761B,國泰A級公司債,34.49,+0.12,34.52,34.52,34.44,34.48,756400,26083766,121,34.48,34.49,2740089000,34.49,9999.95,0.01
1150605,00764B,群益25年美債,27.87,+0.09,27.78,27.91,27.78,27.88,6274141,174920088,229,27.86,27.87,1572000000,27.87,9999.95,0.01
1150605,00768B,復華20年美債,49.81,+0.11,49.75,49.88,49.75,49.79,175807,8754178,43,49.80,49.81,766100000,49.81,9999.95,0.01
1150605,00772B,中信高評級公司債,33.76,+0.11,33.66,33.79,33.66,33.76,4604916,155440619,743,33.75,33.76,3442790000,33.76,9999.95,0.01
1150605,00773B,中信優先金融債,35.85,+0.10,35.75,35.91,35.75,35.87,1014974,36408650,197,35.85,35.87,2562290000,35.85,9999.95,0.01
1150605,00777B,凱基AAA至A公司債,32.76,+0.07,32.77,32.77,32.76,32.76,101000,3308770,3,32.75,32.76,1892150000,32.76,9999.95,0.01
1150605,00778B,凱基金融債20+,34.53,0.00 ,34.58,34.58,34.53,34.53,102000,3522110,4,34.58,34.63,1507150000,34.53,9999.95,0.01
1150605,00779B,凱基美債25+,28.21,0.00 ,28.21,28.25,28.21,28.25,314107,8873119,13,28.21,28.23,1302150000,28.21,9999.95,0.01
1150605,00780B,國泰A級金融債,37.00,+0.09,37.02,37.03,36.99,37.00,187727,6945661,20,36.99,37.00,268602000,37.00,9999.95,0.01
1150605,00781B,國泰A級科技債,28.90,+0.05,28.86,28.90,28.86,28.89,122600,3542378,15,28.87,28.91,8336000,28.90,9999.95,0.01
1150605,00782B,國泰A級公用債,30.48,+0.03,30.50,30.50,30.47,30.48,345600,10533199,16,30.48,30.49,19467000,30.48,9999.95,0.01
1150605,00785B,富邦金融投等債,34.99,+0.06,34.99,35.00,34.99,35.00,52110,1823844,6,34.99,35.00,1087966000,34.99,9999.95,0.01
1150605,00786B,元大10年IG銀行債,32.55,-0.08 ,32.68,32.68,32.55,32.61,21000,684740,9,32.55,32.62,22066000,32.55,9999.95,0.01
1150605,00787B,元大10年IG醫療債,32.75,+0.08,32.75,32.75,32.75,32.75,7215,236271,11,32.73,32.74,12806000,32.75,9999.95,0.01
1150605,00788B,元大10年IG電能債,30.00,+0.05,30.01,30.06,30.00,30.01,13000,390090,5,30.00,30.01,26206000,30.00,9999.95,0.01
1150605,00789B,復華公司債A3,48.62,+0.13,48.60,48.62,48.57,48.62,113060,5496696,8,48.59,48.60,456100000,48.62,9999.95,0.01
1150605,00791B,復華信用債1-5,56.45,+0.10,56.40,56.55,56.40,56.49,123999,7004893,9,56.40,56.55,279100000,56.45,9999.95,0.01
1150605,00792B,群益A級公司債,32.07,+0.10,32.00,32.07,32.00,32.04,130109,4168081,10,32.02,32.03,2277115000,32.07,9999.95,0.01
1150605,00793B,群益AAA-A醫療債,30.95,+0.04,30.99,31.03,30.95,31.01,152101,4716025,10,30.95,31.03,3526000,30.95,9999.95,0.01
1150605,00795B,中信美國公債20年,26.74,+0.08,26.77,26.78,26.70,26.74,6370102,170364728,894,26.73,26.74,1780598000,26.74,9999.95,0.01
1150605,00799B,國泰A級醫療債,29.64,+0.16,29.62,29.64,29.60,29.63,199261,5904059,35,29.63,29.64,25536000,29.64,9999.95,0.01
1150605,00834B,第一金金融債10+,34.19,+0.09,34.19,34.19,34.19,34.19,100000,3419000,2,34.16,34.18,23198000,34.19,9999.95,0.01
1150605,00836B,永豐10年A公司債,29.12,+0.13,29.12,29.12,29.12,29.12,8000,232960,6,29.11,29.13,580041000,29.12,9999.95,0.01
1150605,00840B,凱基IG精選15+,30.16,+0.08,30.16,30.16,30.16,30.16,100005,3016150,3,30.09,30.15,59431000,30.16,9999.95,0.01
1150605,00841B,凱基AAA-AA公司債,29.05,+0.07,29.05,29.05,29.05,29.05,100000,2905000,2,28.98,29.05,70440000,29.05,9999.95,0.01
1150605,00842B,台新美元銀行債,30.42,-0.03 ,30.45,30.47,30.42,30.44,107070,3258841,37,30.42,30.44,16267000,30.42,9999.95,0.01
1150605,00844B,新光15年IG金融債,31.58,+0.08,31.60,31.60,31.58,31.60,85000,2685900,5,31.58,31.60,230675000,31.58,9999.95,0.01
1150605,00845B,富邦新興投等債,33.11,+0.09,33.11,33.11,33.11,33.11,101000,3344110,3,33.06,33.10,237551000,33.11,9999.95,0.01
1150605,00846B,富邦歐洲銀行債,35.64,+0.05,35.41,35.70,35.41,35.64,104000,3706370,8,35.60,35.63,74350000,35.64,9999.95,0.01
1150605,00847B,中信美國市政債,25.39,+0.04,25.38,25.39,25.36,25.38,372000,9442060,16,25.38,25.40,8805000,25.39,9999.95,0.01
1150605,00848B,中信新興亞洲債,34.20,+0.06,34.15,34.20,34.15,34.17,360000,12302000,8,34.14,34.17,136066000,34.20,9999.95,0.01
1150605,00849B,中信EM主權債0-5,37.17,+0.07,37.11,37.18,37.10,37.12,311518,11564921,13,37.11,37.14,485106000,37.17,9999.95,0.01
1150605,00853B,統一美債10年Aa-A,27.93,+0.05,27.96,27.96,27.90,27.94,1576949,44059095,111,27.93,27.95,184134000,27.93,9999.95,0.01
1150605,00856B,永豐1-3年美公債,37.43,+0.02,37.40,37.43,37.32,37.36,24026,897501,10,37.47,37.56,6792000,37.43,9999.95,0.01
1150605,00857B,永豐20年美公債,23.21,+0.04,23.21,23.26,23.20,23.23,1725905,40089553,218,23.21,23.22,586768000,23.21,9999.95,0.01
1150605,00858,永豐美國500大,36.10,+0.07,36.04,36.13,36.03,36.07,368982,13309793,367,36.09,36.10,120374000,36.10,9999.95,0.01
1150605,00859B,群益0-1年美債,40.99,-0.01 ,41.00,41.00,40.94,40.97,3276526,134247717,198,40.98,40.99,24011000,40.99,9999.95,0.01
1150605,00860B,群益1-5Y投資級債,37.77,+0.09,37.72,37.77,37.72,37.75,110680,4177787,11,37.74,37.78,3171000,37.77,9999.95,0.01
1150605,00862B,中信投資級公司債,32.05,+0.08,32.07,32.08,32.03,32.04,470987,15092751,30,32.05,32.06,839381000,32.05,9999.95,0.01
