Date,Rank,SecuritiesCompanyCode,CompanyName,Buy,Sell,NetBuy
1150605,1,3293,鈊象,1525,0,1525
1150605,2,6187,萬潤,453,3,450
1150605,3,5371,中光電,380,0,380
1150605,4,6274,台燿,321,35,286
1150605,5,8069,元太,277,18,259
1150605,6,3163,波若威,219,0,219
1150605,7,00679B,元大美債20年,150,0,150
1150605,8,00687B,國泰20年美債,150,0,150
1150605,9,6223,旺矽,119,12,107
1150605,10,00795B,中信美國公債20年,50,0,50
1150605,11,3265,台星科,47,0,47
1150605,12,3081,聯亞,189,151,38
1150605,13,6509,聚和,33,0,33
1150605,14,5309,系統電,21,0,21
1150605,15,8155,博智,18,0,18
1150605,16,6679,鈺太,13,0,13
1150605,17,3357,臺慶科,12,0,12
1150605,18,8109,博大,11,0,11
1150605,19,3324,雙鴻,10,0,10
1150605,20,3529,力旺,11,6,5
1150605,21,5536,聖暉*,5,2,3
1150605,22,1785,光洋科,0,0,0
