Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150608,00400A,主動國泰動能高息,63381811,870333037,13.28,14.10,13.28,14.08,-0.4700,14872
1150608,00401A,主動摩根台灣鑫收,8323687,108842036,12.72,13.26,12.72,13.25,-0.4300,1586
1150608,00403A,主動統一升級50,687072227,6834206053,9.70,10.15,9.69,10.13,-0.2800,165474
1150608,0050,元大台灣50,524952235,52211365308,98.05,101.30,98.05,100.95,-3.2000,599172
1150608,0051,元大中型100,238808,32257654,139.95,139.95,133.00,137.25,-6.0000,1303
1150608,0052,富邦科技,72781356,4254363343,57.25,59.25,57.25,58.85,-2.1500,59819
1150608,0053,元大電子,97085,22194060,228.60,231.80,225.00,230.90,-8.4000,2030
1150608,0055,元大MSCI金融,1454427,55120684,37.34,38.32,37.34,38.15,-0.9900,1166
1150608,0056,元大高股息,126733268,6198509757,47.67,49.45,47.64,49.45,-2.3500,106806
1150608,0057,富邦摩台,15231,4517820,293.90,299.50,293.25,298.40,-9.6000,117
1150608,0061,元大寶滬深,278350,6787093,24.30,24.58,24.25,24.25,-0.7500,261
1150608,006203,元大MSCI台灣,21871,3979007,181.00,183.50,179.05,183.35,-5.1500,112
1150608,006204,永豐臺灣加權,26570,5673182,213.45,216.70,212.30,216.70,-8.8000,117
1150608,006205,富邦上証,1294442,51407847,40.00,40.00,39.42,39.42,-1.0700,328
1150608,006206,元大上證50,65461,2343598,36.23,36.23,35.39,35.72,-0.6300,317
1150608,006207,復華滬深,366886,11980325,32.74,32.80,32.53,32.53,-0.9000,152
1150608,006208,富邦台50,10547287,2446967930,228.50,234.75,227.35,233.85,-7.2000,43067
1150608,00625K,富邦上証+R,6000,52020,8.67,8.67,8.67,8.67,0.0000,2
1150608,00631L,元大台灣50正2,732939511,24652062223,32.26,34.80,32.25,33.80,-2.8700,261062
1150608,00632R,元大台灣50反1,312368578,3400405997,11.06,11.06,10.75,10.77,0.4000,30664
1150608,00633L,富邦上証正2,2845005,143020245,50.90,50.95,49.80,49.90,-2.6500,862
1150608,00634R,富邦上証反1,2207799,6877248,3.05,3.14,3.05,3.13,0.0800,77
1150608,00635U,期元大S&P黃金,5898388,266197704,45.42,45.42,44.99,45.03,-1.4000,5828
1150608,00636,國泰中國A50,776262,21847066,28.20,28.32,27.96,28.05,-0.6600,382
1150608,00636K,國泰中國A50+U,200,1802,9.01,9.01,9.01,9.01,-0.2400,2
1150608,00637L,元大滬深300正2,29807422,622738114,21.00,21.15,20.65,20.65,-1.0400,3797
1150608,00638R,元大滬深300反1,575000,3821780,6.51,6.69,6.51,6.67,0.1700,82
1150608,00639,富邦深100,1818412,32300681,17.95,17.95,17.65,17.65,-0.6400,414
1150608,00640L,富邦日本正2,494868,47702809,97.15,97.45,95.35,96.05,-5.8000,340
1150608,00641R,富邦日本反1,2536593,9996642,3.94,3.96,3.92,3.94,0.1000,196
1150608,00642U,期元大S&P石油,11844559,352476613,29.42,30.06,29.28,29.89,0.4700,1554
1150608,00643,群益深証中小,3928584,75231835,19.55,19.55,18.96,18.97,-0.8300,922
1150608,00643K,群益深証中小+R,3000,12720,4.25,4.25,4.23,4.23,0.0000,3
1150608,00645,富邦日本,236774,12823958,54.30,54.40,53.90,54.05,-1.6000,633
1150608,00646,元大S&P500,12915266,948961692,73.65,73.70,73.25,73.35,-1.3500,7645
1150608,00647L,元大S&P500正2,80942,10598500,130.35,131.30,130.35,130.55,-5.2500,276
1150608,00648R,元大S&P500反1,3310084,13362997,4.03,4.06,4.02,4.05,0.0800,173
1150608,00650L,復華香港正2,4454659,71119925,15.78,16.24,15.78,16.00,-0.4500,738
1150608,00651R,復華香港反1,342662,1850759,5.40,5.45,5.38,5.41,0.1000,56
1150608,00652,富邦印度,293055,9221358,31.40,31.60,31.38,31.57,-0.0800,510
1150608,00653L,富邦印度正2,541293,23225701,43.24,43.36,42.75,43.36,-0.7400,151
1150608,00654R,富邦印度反1,101562,714443,7.06,7.06,7.01,7.02,0.0700,30
1150608,00655L,國泰中國A50正2,2059974,72508836,35.70,35.70,34.70,34.87,-1.7300,407
1150608,00656R,國泰中國A50反1,110000,645820,5.77,5.91,5.77,5.91,0.1700,19
1150608,00657,國泰日經225,115431,8589218,74.95,75.05,74.10,74.50,-3.3500,136
1150608,00657K,國泰日經225+U,200,4748,23.74,23.74,23.74,23.74,-0.9700,2
1150608,00660,元大歐洲50,12478,544751,44.04,44.04,43.22,43.50,-0.9100,120
1150608,00661,元大日經225,703733,57848975,82.50,82.95,81.50,82.05,-3.9000,991
1150608,00662,富邦NASDAQ,8924542,1056035394,117.90,118.75,117.70,118.15,-3.9000,12310
1150608,00663L,國泰臺灣加權正2,26181500,2541123832,94.80,99.20,94.65,97.65,-9.0000,15451
1150608,00664R,國泰臺灣加權反1,61104205,107352475,1.79,1.79,1.73,1.74,0.0700,2350
1150608,00665L,富邦恒生國企正2,14656279,134071581,9.05,9.32,9.02,9.16,-0.2500,1670
1150608,00666R,富邦恒生國企反1,29000,268960,9.37,9.37,9.24,9.30,0.1500,7
1150608,00668,國泰美國道瓊,33459,1960080,58.80,58.80,58.45,58.50,-0.8500,124
1150608,00668K,國泰美國道瓊+U,200,3722,18.61,18.61,18.61,18.61,-0.2400,2
1150608,00669R,國泰美國道瓊反1,1987138,10744271,5.42,5.43,5.39,5.41,0.0700,186
1150608,00670L,富邦NASDAQ正2,2337773,473375557,202.20,203.60,200.35,201.40,-15.7000,3503
1150608,00671R,富邦NASDAQ反1,10668448,26346731,2.47,2.48,2.46,2.48,0.0900,540
1150608,00673R,期元大S&P原油反1,27972108,343021759,12.35,12.40,12.09,12.15,-0.1500,1801
1150608,00674R,期元大S&P黃金反1,303195,8675955,28.49,28.69,28.43,28.67,0.8600,143
1150608,00675L,富邦臺灣加權正2,7471394,2193689843,285.00,300.15,285.00,295.45,-27.3000,9102
1150608,00676R,富邦臺灣加權反1,17610827,105121389,6.03,6.04,5.89,5.93,0.2400,1555
1150608,00678,群益那斯達克生技,488902,17438135,35.05,35.74,35.05,35.59,-0.1900,164
1150608,00680L,元大美債20正2,34236152,232882792,6.81,6.83,6.78,6.80,-0.0900,999
1150608,00681R,元大美債20反1,26000,550020,21.15,21.20,21.15,21.20,0.1300,5
