日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150608,寶島股價指數,48554.49,-,"1,781.80",-3.54,
1150608,發行量加權股價指數,43502.78,-,"1,568.16",-3.48,
1150608,臺灣公司治理100指數,27167.65,-,950.84,-3.38,
1150608,臺灣50指數,40335.80,-,"1,365.87",-3.28,
1150608,臺灣50權重上限30%指數,33764.95,-,"1,231.55",-3.52,
1150608,臺灣中型100指數,34563.58,-,"1,688.71",-4.66,
1150608,臺灣資訊科技指數,84887.91,-,"3,163.84",-3.59,
1150608,臺灣發達指數,18180.44,-,510.44,-2.73,
1150608,臺灣高股息指數,13821.12,-,697.34,-4.80,
1150608,臺灣就業99指數,26568.15,-,"1,167.26",-4.21,
1150608,臺灣高薪100指數,20841.78,-,885.57,-4.08,
1150608,未含金融指數,39256.57,-,"1,436.68",-3.53,
1150608,未含電子指數,21754.02,-,686.28,-3.06,
1150608,未含金融電子指數,14547.43,-,483.91,-3.22,
1150608,小型股300指數,13857.95,-,591.50,-4.09,
1150608,水泥窯製類指數,630.41,-,28.80,-4.37,
1150608,塑膠化工類指數,789.15,-,34.22,-4.16,
1150608,機電類指數,15493.12,-,576.19,-3.59,
1150608,水泥類指數,120.01,-,2.62,-2.14,
1150608,食品類指數,1895.39,-,29.67,-1.54,
1150608,塑膠類指數,206.24,-,14.13,-6.41,
1150608,紡織纖維類指數,480.68,-,14.48,-2.92,
1150608,電機機械類指數,549.00,-,23.23,-4.06,
1150608,電器電纜類指數,105.50,-,8.07,-7.11,
1150608,化學生技醫療類指數,147.52,-,3.25,-2.16,
1150608,化學類指數,193.86,-,7.21,-3.59,
1150608,生技醫療類指數,78.76,-,1.11,-1.39,
1150608,玻璃陶瓷類指數,147.32,-,12.80,-7.99,
1150608,造紙類指數,254.13,-,5.57,-2.14,
1150608,鋼鐵類指數,116.19,-,3.86,-3.22,
1150608,橡膠類指數,196.84,-,4.79,-2.38,
1150608,汽車類指數,291.47,-,9.88,-3.28,
1150608,電子工業類指數,2813.53,-,104.13,-3.57,
1150608,半導體類指數,1465.62,-,55.87,-3.67,
1150608,電腦及週邊設備類指數,419.10,-,20.65,-4.70,
1150608,光電類指數,61.64,-,4.55,-6.87,
1150608,通信網路類指數,250.42,-,6.91,-2.69,
1150608,電子零組件類指數,938.73,-,13.47,-1.41,
1150608,電子通路類指數,380.74,-,29.02,-7.08,
1150608,資訊服務類指數,213.05,-,3.65,-1.68,
1150608,其他電子類指數,293.29,-,16.26,-5.25,
1150608,建材營造類指數,454.80,-,10.73,-2.30,
1150608,航運類指數,185.58,-,6.16,-3.21,
1150608,觀光餐旅類指數,102.37,-,1.55,-1.49,
1150608,金融保險類指數,2847.48,-,83.07,-2.83,
1150608,貿易百貨類指數,231.12,-,8.51,-3.55,
1150608,油電燃氣類指數,76.13,-,3.53,-4.43,
1150608,綠能環保類指數,133.07,-,2.57,-1.89,
1150608,數位雲端類指數,53.24,+,2.25,4.41,
1150608,運動休閒類指數,61.07,-,0.16,-0.26,
1150608,居家生活類指數,93.04,-,0.66,-0.70,
1150608,其他類指數,273.98,-,3.64,-1.31,
1150608,臺指日報酬兩倍指數,203830.74,-,"15,244.65",-6.96,
1150608,臺指反向一倍指數,1353.88,+,45.52,3.48,
1150608,電子類兩倍槓桿指數,350679.11,-,"26,955.21",-7.14,
1150608,電子類反向指數,822.45,+,28.34,3.57,
1150608,臺灣生技指數,3583.35,-,50.71,-1.40,
1150608,臺灣中小型公司治理指數,20432.72,-,838.32,-3.94,
1150608,臺灣IPO指數,9206.28,-,323.05,-3.39,
