證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
00403A,主動統一升級50,"92,656,204","55,790,580","36,865,624",0,0,0,0,0,0,"153,292,348",0,0,0,"156,618,331","3,325,983","153,292,348","190,157,972",20260609
2892,第一金,"79,223,487","15,155,438","64,068,049",0,0,0,"30,000","18,000","12,000",-979,"9,029","334,000","-324,971","487,992","164,000","323,992","64,079,070",20260609
2801,彰銀,"71,947,141","10,167,271","61,779,870",0,0,0,0,"32,944","-32,944","-262,487",0,"208,000","-208,000","107,513","162,000","-54,487","61,484,439",20260609
00981A,主動統一台股增長,"79,050,738","43,561,623","35,489,115",0,0,0,"17,410,000",0,"17,410,000","1,917,540","977,000","1,972,000","-995,000","25,780,973","22,868,433","2,912,540","54,816,655",20260609
2887,台新新光金,"99,064,863","54,248,759","44,816,104",0,0,0,"4,460,000","671,000","3,789,000","-76,073",0,"737,000","-737,000","2,860,927","2,200,000","660,927","48,529,031",20260609
2834,臺企銀,"54,051,576","13,374,752","40,676,824",0,0,0,0,"22,717","-22,717","151,935","14,935","188,000","-173,065","386,000","61,000","325,000","40,806,042",20260609
2884,玉山金,"71,313,056","31,635,781","39,677,275",0,0,0,"68,000","388,403","-320,403","-1,404,748","103,000","1,592,000","-1,489,000","361,392","277,140","84,252","37,952,124",20260609
2890,永豐金,"58,621,859","22,539,289","36,082,570",0,0,0,"187,000","43,470","143,530","797,744","151,023","265,000","-113,977","1,327,721","416,000","911,721","37,023,844",20260609
00878,國泰永續高股息,"7,560,703","9,066,389","-1,505,686",0,0,0,0,0,0,"33,850,603",0,"10,000","-10,000","39,799,619","5,939,016","33,860,603","32,344,917",20260609
2867,三商壽,"31,663,000","5,514,570","26,148,430",0,0,0,0,0,0,"5,142,000","5,447,000","305,000","5,142,000",0,0,0,"31,290,430",20260609
00992A,主動群益科技創新,"32,388,000","19,661,800","12,726,200",0,0,0,0,0,0,"16,106,188",0,"2,000","-2,000","22,958,507","6,850,319","16,108,188","28,832,388",20260609
5880,合庫金,"35,761,490","13,539,422","22,222,068",0,0,0,"26,000","33,043","-7,043","-184,662","5,000","244,000","-239,000","84,338","30,000","54,338","22,030,363",20260609
2845,遠東銀,"25,922,350","4,169,200","21,753,150",0,0,0,0,"7,000","-7,000","-130,000",0,"82,000","-82,000","67,000","115,000","-48,000","21,616,150",20260609
2886,兆豐金,"45,179,237","23,335,117","21,844,120",0,0,0,"50,000","30,231","19,769","-510,668",0,"229,000","-229,000","226,332","508,000","-281,668","21,353,221",20260609
00673R,期元大S&P原油反1,0,"68,000","-68,000",0,0,0,0,0,0,"18,310,837",0,0,0,"18,867,837","557,000","18,310,837","18,242,837",20260609
2313,華通,"32,637,981","15,902,825","16,735,156",0,0,0,0,"78,000","-78,000","449,344","181,503","99,750","81,753","1,031,137","663,546","367,591","17,106,500",20260609
5876,上海商銀,"22,938,267","6,345,063","16,593,204",0,0,0,"25,000","119,983","-94,983","-359,660","6,340","120,000","-113,660","39,000","285,000","-246,000","16,138,561",20260609
2883,凱基金,"71,220,083","151,628,127","-80,408,044",0,0,0,"94,166,000","313,000","93,853,000","1,940,423","396,010","976,663","-580,653","3,180,594","659,518","2,521,076","15,385,379",20260609
00940,元大台灣價值高息,"5,368,300","4,594,000","774,300",0,0,0,0,0,0,"12,602,305",0,"200,000","-200,000","15,545,789","2,743,484","12,802,305","13,376,605",20260609
0056,元大高股息,"16,223,653","11,268,144","4,955,509",0,0,0,0,"110,000","-110,000","8,310,970","1,000","1,000",0,"9,712,617","1,401,647","8,310,970","13,156,479",20260609
00982A,主動群益台灣強棒,"10,242,300","8,864,000","1,378,300",0,0,0,0,0,0,"9,979,053",0,"22,000","-22,000","12,702,034","2,700,981","10,001,053","11,357,353",20260609
00991A,主動復華未來50,"29,966,095","12,674,410","17,291,685",0,0,0,0,0,0,"-6,171,255",0,"100,000","-100,000","5,132,970","11,204,225","-6,071,255","11,120,430",20260609
3045,台灣大,"14,952,689","4,658,045","10,294,644",0,0,0,"242,000","12,000","230,000","-295,000",0,"237,000","-237,000","21,000","79,000","-58,000","10,229,644",20260609
2812,台中銀,"15,293,438","4,993,481","10,299,957",0,0,0,0,"18,909","-18,909","-118,771","1,229","103,000","-101,771","56,000","73,000","-17,000","10,162,277",20260609
6116,彩晶,"7,443,653","1,585,100","5,858,553",0,0,0,0,0,0,"3,838,419","882,419","61,000","821,419","5,456,000","2,439,000","3,017,000","9,696,972",20260609
1402,遠東新,"24,734,242","40,839,800","-16,105,558",0,0,0,"25,139,000","6,000","25,133,000","-20,956","124,000","399,099","-275,099","604,555","350,412","254,143","9,006,486",20260609
00680L,元大美債20正2,"181,000","768,000","-587,000",0,0,0,0,0,0,"9,386,843",0,0,0,"10,615,000","1,228,157","9,386,843","8,799,843",20260609
9105,泰金寶-DR,"58,849,600","49,717,600","9,132,000",0,0,0,0,0,0,"-435,049","12,784","13,387",-603,"239,696","674,142","-434,446","8,696,951",20260609
00400A,主動國泰動能高息,"15,137,000","8,034,000","7,103,000",0,0,0,0,0,0,"1,153,593",0,0,0,"10,528,257","9,374,664","1,153,593","8,256,593",20260609
8112,至上,"13,965,612","6,985,658","6,979,954",0,0,0,0,"236,944","-236,944","919,710","179,312","73,410","105,902","897,681","83,873","813,808","7,662,720",20260609
2897,王道銀行,"9,450,000","1,580,637","7,869,363",0,0,0,0,0,0,"-270,000","21,000","278,000","-257,000",0,"13,000","-13,000","7,599,363",20260609
2881,富邦金,"29,593,517","47,078,278","-17,484,761",0,0,0,"25,192,000","664,052","24,527,948","-381,478","126,903","429,724","-302,821","676,786","755,443","-78,657","6,661,709",20260609
00993A,主動安聯台灣,"4,272,000","1,741,000","2,531,000",0,0,0,0,0,0,"3,733,621",0,0,0,"5,131,829","1,398,208","3,733,621","6,264,621",20260609
00882,中信中國高股息,"901,000","895,000","6,000",0,0,0,0,0,0,"6,108,205",0,0,0,"9,108,407","3,000,202","6,108,205","6,114,205",20260609
009820,元大納斯達克精選,0,"4,196,000","-4,196,000",0,0,0,0,0,0,"10,297,982",0,"716,000","-716,000","11,767,000","753,018","11,013,982","6,101,982",20260609
8926,台汽電,"7,770,652","2,315,618","5,455,034",0,0,0,0,0,0,"72,525","115,707","43,182","72,525",0,0,0,"5,527,559",20260609
00953B,群益優選非投等債,0,"13,197,000","-13,197,000",0,0,0,0,0,0,"18,693,800",0,0,0,"23,310,000","4,616,200","18,693,800","5,496,800",20260609
00891,中信關鍵半導體,"5,747,000","5,261,009","485,991",0,0,0,0,0,0,"4,908,336",0,0,0,"7,639,865","2,731,529","4,908,336","5,394,327",20260609
3715,定穎投控,"8,245,679","3,408,150","4,837,529",0,0,0,0,"3,000","-3,000","239,523","34,000","3,000","31,000","431,621","223,098","208,523","5,074,052",20260609
2882,國泰金,"30,225,776","25,371,295","4,854,481",0,0,0,"962,000","1,614,887","-652,887","730,908","194,120","275,000","-80,880","1,501,749","689,961","811,788","4,932,502",20260609
5871,中租-KY,"4,932,438","8,734,205","-3,801,767",0,0,0,"8,406,000","134,255","8,271,745","54,475","2,875","35,072","-32,197","93,672","7,000","86,672","4,524,453",20260609
3033,威健,"9,378,000","3,920,042","5,457,958",0,0,0,0,"18,819","-18,819","-1,007,789","7,096","1,292,016","-1,284,920","340,004","62,873","277,131","4,431,350",20260609
1319,東陽,"3,511,289","1,988,400","1,522,889",0,0,0,"3,360,000","410,934","2,949,066","-110,266","2,674","159,041","-156,367","87,060","40,959","46,101","4,361,689",20260609
2542,興富發,"5,221,828","10,074,134","-4,852,306",0,0,0,"9,046,000",0,"9,046,000","91,796",0,"52,000","-52,000","181,796","38,000","143,796","4,285,490",20260609
1216,統一,"12,565,094","8,065,185","4,499,909",0,0,0,0,"154,000","-154,000","-158,397",0,"90,000","-90,000","46,603","115,000","-68,397","4,187,512",20260609
2027,大成鋼,"18,173,944","5,320,204","12,853,740",0,0,0,"808,000","8,960,000","-8,152,000","-727,756","35,083","854,000","-818,917","360,508","269,347","91,161","3,973,984",20260609
00980A,主動野村臺灣優選,"1,356,100","4,700,000","-3,343,900",0,0,0,0,0,0,"7,167,959",0,"60,000","-60,000","8,110,307","882,348","7,227,959","3,824,059",20260609
00900,富邦特選高股息30,"2,300,000","1,503,000","797,000",0,0,0,0,0,0,"2,843,553",0,0,0,"3,825,450","981,897","2,843,553","3,640,553",20260609
00999A,主動野村臺灣高息,"1,486,000","10,928,040","-9,442,040",0,0,0,0,0,0,"13,001,388",0,0,0,"18,007,447","5,006,059","13,001,388","3,559,348",20260609
1714,和桐,0,"1,009,308","-1,009,308",0,0,0,0,0,0,"4,546,049","4,516,958",0,"4,516,958","29,091",0,"29,091","3,536,741",20260609
00631L,元大台灣50正2,"51,647,212","37,250,564","14,396,648",0,0,0,0,0,0,"-10,865,273",0,0,0,"29,827,827","40,693,100","-10,865,273","3,531,375",20260609
8150,南茂,"25,528,596","22,359,786","3,168,810",0,0,0,0,0,0,"322,469","67,000","139,791","-72,791","834,134","438,874","395,260","3,491,279",20260609
065423,台股增元大5A購01,0,"85,000","-85,000",0,0,0,0,0,0,"3,255,000",0,0,0,"4,618,000","1,363,000","3,255,000","3,170,000",20260609
00996A,主動兆豐台灣豐收,"2,485,000","939,000","1,546,000",0,0,0,0,0,0,"1,513,978",0,0,0,"3,756,738","2,242,760","1,513,978","3,059,978",20260609
00987A,主動台新優勢成長,"1,168,000","264,000","904,000",0,0,0,0,0,0,"2,111,965",0,0,0,"3,288,709","1,176,744","2,111,965","3,015,965",20260609
00997A,主動群益美國增長,"4,614,000","1,287,000","3,327,000",0,0,0,0,0,0,"-325,828",0,0,0,"2,092,730","2,418,558","-325,828","3,001,172",20260609
00939,統一台灣高息動能,"3,024,000","360,000","2,664,000",0,0,0,0,0,0,"330,207",0,0,0,"3,242,923","2,912,716","330,207","2,994,207",20260609
00994A,主動第一金台股優,"399,000","1,253,050","-854,050",0,0,0,0,0,0,"3,752,144",0,"22,000","-22,000","4,705,414","931,270","3,774,144","2,898,094",20260609
6209,今國光,"6,494,703","3,945,969","2,548,734",0,0,0,0,0,0,"304,723","86,244","47,855","38,389","358,408","92,074","266,334","2,853,457",20260609
00915,凱基優選高股息30,"1,031,000","2,029,000","-998,000",0,0,0,0,0,0,"3,842,936",0,0,0,"5,715,576","1,872,640","3,842,936","2,844,936",20260609
054770,定穎控凱基57購03,0,0,0,0,0,0,0,0,0,"2,838,000",0,0,0,"2,908,000","70,000","2,838,000","2,838,000",20260609
9941,裕融,"1,959,290","2,790,129","-830,839",0,0,0,"3,600,000","6,232","3,593,768","4,936","48,936","44,000","4,936",0,0,0,"2,767,865",20260609
00713,元大台灣高息低波,"254,384","550,100","-295,716",0,0,0,0,0,0,"3,021,571",0,0,0,"4,209,571","1,188,000","3,021,571","2,725,855",20260609
2889,國票金,"4,352,000","1,571,144","2,780,856",0,0,0,0,0,0,"-77,000","10,000","72,000","-62,000",0,"15,000","-15,000","2,703,856",20260609
8046,南電,"6,343,004","4,813,552","1,529,452",0,0,0,"839,000",0,"839,000","255,415","83,300","97,000","-13,700","715,137","446,022","269,115","2,623,867",20260609
2476,鉅祥,"3,422,860","1,273,627","2,149,233",0,0,0,0,0,0,"308,143","6,000","14,364","-8,364","353,508","37,001","316,507","2,457,376",20260609
049747,瀚宇博元大5C購02,0,0,0,0,0,0,0,0,0,"2,412,000",0,0,0,"2,442,000","30,000","2,412,000","2,412,000",20260609
00663L,國泰臺灣加權正2,"1,377,020","653,000","724,020",0,0,0,0,0,0,"1,677,840",0,0,0,"5,722,690","4,044,850","1,677,840","2,401,860",20260609
069947,友達台新5C購02,0,0,0,0,0,0,0,0,0,"2,377,000",0,0,0,"2,767,000","390,000","2,377,000","2,377,000",20260609
2412,中華電,"12,226,066","10,319,248","1,906,818",0,0,0,"31,000","9,000","22,000","361,000","498,000","118,000","380,000","9,000","28,000","-19,000","2,289,818",20260609
068665,T50反1富邦62購04,0,0,0,0,0,0,0,0,0,"2,267,000",0,0,0,"4,063,000","1,796,000","2,267,000","2,267,000",20260609
8163,達方,"3,385,313","1,241,256","2,144,057",0,0,0,0,0,0,"118,605","29,224","21,591","7,633","112,016","1,044","110,972","2,262,662",20260609
2820,華票,"3,226,081","952,469","2,273,612",0,0,0,0,0,0,"-22,000","9,000","31,000","-22,000",0,0,0,"2,251,612",20260609
3022,威強電,"3,677,621","1,160,626","2,516,995",0,0,0,0,0,0,"-337,163","71,819","400,000","-328,181","71,769","80,751","-8,982","2,179,832",20260609
1210,大成,"1,778,985","4,329,623","-2,550,638",0,0,0,"4,990,000",0,"4,990,000","-265,243","51,000","316,243","-265,243",0,0,0,"2,174,119",20260609
069122,金像電元大5B購09,0,0,0,0,0,0,0,0,0,"2,160,000",0,0,0,"2,160,000",0,"2,160,000","2,160,000",20260609
2351,順德,"3,214,471","1,652,540","1,561,931",0,0,0,"591,000","1,000","590,000","-12,400",0,"9,571","-9,571","59,474","62,303","-2,829","2,139,531",20260609
068582,康普元大5B購01,0,0,0,0,0,0,0,0,0,"2,092,000",0,0,0,"2,192,000","100,000","2,092,000","2,092,000",20260609
070312,友達元大64購04,0,0,0,0,0,0,0,0,0,"2,090,000",0,0,0,"2,101,000","11,000","2,090,000","2,090,000",20260609
00671R,富邦NASDAQ反1,0,0,0,0,0,0,0,0,0,"2,079,700",0,0,0,"3,787,000","1,707,300","2,079,700","2,079,700",20260609
00688L,國泰20年美債正2,0,"318,000","-318,000",0,0,0,0,0,0,"2,392,500",0,0,0,"3,506,000","1,113,500","2,392,500","2,074,500",20260609
069121,金像電元大5B購08,0,0,0,0,0,0,0,0,0,"2,061,000",0,0,0,"2,086,000","25,000","2,061,000","2,061,000",20260609
